名前（フル）	姓	名	名前読み（フル）	姓読み	名読み	属性	メモ	備考
Amicia Michella	Michella	Amicia	あみしあみしぇら	みしぇら	あみしあ	NijiID		
Etna Crimson	Crimson	Etna	えとなくりむぞん	くりむぞん	えとな	NijiID		
Xia Ekavira	Ekavira	Xia	しあえかふぃら	えかふぃら	しあ	NijiID		
Siska Leontyne	Leontyne	Siska	しすかれおんたいん	れおんたいん	しすか	NijiID		
ZEA Cornelia	Cornelia	ZEA	ぜあこるねりあ	こるねりあ	ぜあ	NijiID		
Taka Radjiman	Radjiman	Taka	たからじまん	らじまん	たか	NijiID		
Derem Kado	Kado	Derem	でれむかど	かど	でれむ	NijiID		
Nagisa Arcinia	Arcinia	Nagisa	なぎさあるにしあ	あるにしあ	なぎさ	NijiID		
Nara Haramaung	Haramaung	Nara	ならはらまうん	はらまうん	なら	NijiID		
Hana Macchia	Macchia	Hana	はなまきあ	まきあ	はな	NijiID		
Hyona Elatiora	Elatiora	Hyona	ひょなえらてぃおら	えらてぃおら	ひょな	NijiID		
Bonnivier Pranaja	Pranaja	Bonnivier	ぼんにふぃえーるぷらなじゃ	ぷらなじゃ	ぼんにふぃえーる	NijiID		
Mika Melatika	Melatika	Mika	みかめらてぃか	めらてぃか	みか	NijiID		
Miyu Ottavia	Ottavia	Miyu	みゆおったふぃあ	おったふぃあ	みゆ	NijiID		
Rai Galilei	Galilei	Rai	らいがりれい	がりれい	らい	NijiID		
Layla Alstroemeria	Alstroemeria	Layla	らいらあるすとろえめりあ	あるすとろえめりあ	らいら	NijiID		
Riksa Dhirendra	Dhirendra	Riksa	りくさでぃれんどら	でぃれんどら	りくさ	NijiID		
Reza Avanluna	Avanluna	Reza	れざあふぁんるな	あふぁるんな	れざ	NijiID		
愛園愛美	愛園	愛美	あいぞのまなみ	あいぞの	まなみ	NijiJP		
相羽ういは	相羽	ういは	あいばういは	あいば	ういは	NijiJP		
赤城ウェン	赤城	ウェン	あかぎうぇん	あかぎ	うぇん	NijiJP		
赤羽葉子	赤羽	葉子	あかばねようこ	あかばね	ようこ	NijiJP		
アクシア・クローネ	クローネ	アクシア	あくしあくろーね	くろーね	あくしあ	NijiJP		
朝日南アカネ	朝日南	アカネ	あさひなあかね	あさひな	あかね	NijiJP		
飛鳥ひな	飛鳥	ひな	あすかひな	あすか	ひな	NijiJP		
遠北千南	遠北	千南	あちきたちなみ	あちきた	ちなみ	NijiJP		
安土桃	安土	桃	あづちもも	あづち	もも	NijiJP		
天ヶ瀬むゆ	天ヶ瀬	むゆ	あまがせむゆ	あまがせ	むゆ	NijiJP		
天宮こころ	天宮	こころ	あまみやこころ	あまみや	こころ	NijiJP		
雨森小夜	雨森	小夜	あまもりさよ	あまもり	さよ	NijiJP		
アルス・アルマル	アルマル	アルス	あるすあるまる	あるまる	あるす	NijiJP		
アンジュ・カトリーナ	カトリーナ	アンジュ	あんじゅかとりーな	かとりーな	あんじゅ	NijiJP		
家長むぎ	家長	むぎ	いえながむぎ	いえなが	むぎ	NijiJP		
五十嵐梨花	五十嵐	梨花	いがらしりか	いがらし	りか	NijiJP		
石神のぞみ	石神	のぞみ	いしがみのぞみ	いしがみ	のぞみ	NijiJP		
出雲霞	出雲	霞	いずもかすみ	いずも	かすみ	NijiJP		
五木左京	五木	左京	いつきさきょう	いつき	さきょう	NijiJP		
伊波ライ	伊波	ライ	いなみらい	いなみ	らい	NijiJP		
戌亥とこ	戌亥	とこ	いぬいとこ	いぬい	とこ	NijiJP		
イブラヒム		イブラヒム	いぶらひむ		いぶらひむ	NijiJP		
宇佐美リト	宇佐美	リト	うさみりと	うさみ	りと	NijiJP		
宇志海いちご	宇志海	いちご	うしみいちご	うしみ	いちご	NijiJP		
卯月コウ	卯月	コウ	うづきこう	うづき	こう	NijiJP		
海妹四葉	海妹	四葉	うみせよつは	うみせ	よつは	NijiJP		
海夜叉神		海夜叉神	うみやしゃのかみ		うみやしゃのかみ	NijiJP		
エクス・アルビオ	アルビオ	エクス	えくすあるびお	あるびお	えくす	NijiJP		
えま★おうがすと	おうがすと	えま★	えまおうがすと	おうがすと	えま	NijiJP		
エリー・コニファー	コニファー	エリー	えりーこにふぁー	こにふぁー	えりー	NijiJP		
御伽原江良	御伽原	江良	おとぎばらえら	おとぎばら	えら	NijiJP		
男虎		男虎	おのとら		おのとら	NijiJP		
小野町春香	小野町	春香	おのまちはるか	おのまち	はるか	NijiJP		
オリバー・エバンス	エバンス	オリバー	おりばーえばんす	えばんす	おりばー	NijiJP		
魁星		魁星	かいせい		かいせい	NijiJP		
甲斐田晴	甲斐田	晴	かいだはる	かいだ	はる	NijiJP		
加賀美ハヤト	加賀美	ハヤト	かがみはやと	かがみ	はやと	NijiJP		
語部紡	語部	紡	かたりべつむぐ	かたりべ	つむぐ	NijiJP		
蝸堂みかる	蝸堂	みかる	かどうみかる	かどう	みかる	NijiJP		
叶		叶	かなえ		かなえ	NijiJP		
鏑木ろこ	鏑木	ろこ	かぶらきろこ	かぶらき	ろこ	NijiJP		
神成ポアロ	神成	ポアロ	かみなりぽあろ	かみなり	ぽあろ	NijiJP		
神田笑一	神田	笑一	かんだしょういち	かんだ	しょういち	NijiJP		
綺沙良		綺沙良	きさら		きさら	NijiJP		
北小路ヒスイ	北小路	ヒスイ	きたこうじひすい	きたこうじ	ひすい	NijiJP		
北見遊征	北見	遊征	きたみゆうせい	きたみ	ゆうせい	NijiJP		
雲母たまこ	雲母	たまこ	きららたまこ	きらら	たまこ	NijiJP		
ギルザレンIII世		ギルザレンIII世	ぎるざれんさんせい		ぎるざれんさんせい	NijiJP		
金魚坂めいろ	金魚坂	めいろ	きんぎょざかめいろ	きんぎょざか	めいろ	NijiJP		
グウェル・オス・ガール	オス・ガール	グウェル	ぐうぇるおすがーる	おすがーる	ぐうぇる	NijiJP		
葛葉		葛葉	くずは		くずは	NijiJP		
久遠千歳	久遠	千歳	くどうちとせ	くどう	ちとせ	NijiJP		
倉持めると	倉持	めると	くらもちめると	くらもち	めると	NijiJP		
九里詠太	九里	詠太	くりえいた	くり	えいた	NijiJP		
来栖夏芽	来栖	夏芽	くるすなつめ	くるす	なつめ	NijiJP		
黒井しば	黒井	しば	くろいしば	くろい	しば	NijiJP		
黒羽黒兎	黒羽	黒兎	くろはねくろと	くろはね	くろと	NijiJP		
郡道美玲	郡道	美玲	ぐんどうみれい	ぐんどう	みれい	NijiJP		
弦月藤士郎	弦月	藤士郎	げんづきとうじろう	げんづき	とうじろう	NijiJP		
剣持刀也	剣持	刀也	けんもちとうや	けんもち	とうや	NijiJP	ロリコン	
小々波いるか	小々波	いるか	ここなみいるか	ここなみ	いるか	NijiJP		
小清水透	小清水	透	こしみずとおる	こしみず	とおる	NijiJP		
梢桃音	梢	桃音	こずえもね	こずえ	もね	NijiJP		
小柳ロウ	小柳	ロウ	こやなぎろう	こやなぎ	ろう	NijiJP		
佐伯イッテツ	佐伯	イッテツ	さいきいってつ	さいき	いってつ	NijiJP		
三枝明那	三枝	明那	さえぐさあきな	さえぐさ	あきな	NijiJP		
早乙女ベリー	早乙女	ベリー	さおとめべりー	さおとめ	べりー	NijiJP		
榊ネス	榊	ネス	さかきねす	さかき	ねす	NijiJP		
酒寄颯馬	酒寄	颯馬	さかよりそうま	さかより	そうま	NijiJP		
桜凛月	桜	凛月	さくらりつき	さくら	りつき	NijiJP		
笹木咲	笹木	咲	ささきさく	ささき	さく	NijiJP		
椎名唯華	椎名	唯華	しいなゆいか	しいな	ゆいか	NijiJP		
シェリン・バーガンディ	バーガンディ	シェリン	しぇりんばーがんでぃ	ばーがんでぃ	しぇりん	NijiJP		
栞葉るり	栞葉	るり	しおりはるり	しおりは	るり	NijiJP		
司賀りこ	司賀	りこ	しがりこ	しが	りこ	NijiJP		
四季凪アキラ	四季凪	アキラ	しきなぎあきら	しきなぎ	あきら	NijiJP		
獅子堂あかり	獅子堂	あかり	ししどうあかり	ししどう	あかり	NijiJP		
静凛	静	凛	しずかりん	しずか	りん	NijiJP	しずりん	
シスター・クレア	シスター	クレア	しすたーくれあ	しすたー	くれあ	NijiJP		
篠宮ゆの	篠宮	ゆの	しのみやゆの	しのみや	ゆの	NijiJP		
渋谷ハジメ	渋谷	ハジメ	しぶやはじめ	しぶや	はじめ	NijiJP		
ジョー・力一	ジョー	力一	じょーりきいち	じょー	りきいち	NijiJP		
白砂あやね	白砂	あやね	しらさあやね	しらさ	あやね	NijiJP		
白雪巴	白雪	巴	しらゆきともえ	しらゆき	ともえ	NijiJP		
城瀬いすみ	城瀬	いすみ	しろせいすみ	しろせ	いすみ	NijiJP		
真堂雷斗	真堂	雷斗	しんどうらいと	しんどう	らいと	NijiJP		
周央サンゴ	周央	サンゴ	すおうさんご	すおう	さんご	NijiJP	ンゴ	
健屋花那	健屋	花那	すこやかな	すこや	かな	NijiJP		
鈴鹿詩子	鈴鹿	詩子	すずかうたこ	すずか	うたこ	NijiJP		
鈴木勝	鈴木	勝	すずきまさる	すずき	まさる	NijiJP		
鈴原るる	鈴原	るる	すずはらるる	すずはら	るる	NijiJP	うっす	
鈴谷アキ	鈴谷	アキ	すずやあき	すずや	あき	NijiJP		
スノー・ホワイト・パラダイス・エルサント・フロウ・ワスレナ・ピュア・プリンセス・リーブル・ラブ・ハイデルン・ドコドコ・ヤッタゼ・ヴァルキュリア・パッション・アールヴ・ノエル・チャコボシ・エルアリア・フロージア・メイドイン・ブルーム・エル	スノー・ホワイト・パラダイス・エルサント・フロウ・ワスレナ・ピュア・プリンセス・リーブル・ラブ・ハイデルン・ドコドコ・ヤッタゼ・ヴァルキュリア・パッション・アールヴ・ノエル・チャコボシ・エルアリア・フロージア・メイドイン・ブルーム	エル	すのーほわいとぱらだいすえるさんとふろうわすれなぴゅあぷりんせすりーぶるらぶはいでるんどこどこやったぜゔぁるきゅりあぱっしょんあーるゔのえるちゃこぼしえるありあふろーじあめいどいんぶるーむえる	すのーほわいとぱらだいすえるさんとふろうわすれなぴゅあぷりんせすりーぶるらぶはいでるんどこどこやったぜゔぁるきゅりあぱっしょんあーるゔのえるちゃこぼしえるありあふろーじあめいどいんぶるーむ	える	NijiJP		
皇れお	皇	れお	すめらぎれお	すめらぎ	れお	NijiJP		
雪汝		雪汝	せつな		せつな	NijiJP		
瀬戸美夜子	瀬戸	美夜子	せとみやこ	せと	みやこ	NijiJP		
セラフ・ダズルガーデン	ダズルガーデン	セラフ	せらふだずるがーでん	だずるがーでん	せらふ	NijiJP		
千凛あゆむ	千凛	あゆむ	せんりあゆむ	せんり	あゆむ	NijiJP		
ソフィア・ヴァレンタイン	ヴァレンタイン	ソフィア	そふぃあゔぁれんたいん	ゔぁれんたいん	そふぃあ	NijiJP		
空星きらめ	空星	きらめ	そらほしきらめ	そらほし	きらめ	NijiJP		
鷹宮リオン	鷹宮	リオン	たかみやりおん	たかみや	りおん	NijiJP		
立伝都々	立伝	都々	たちつてとと	たちつて	とと	NijiJP		
珠乃井ナナ	珠乃井	ナナ	たまのいなな	たまのい	なな	NijiJP		
塚原大地	塚原	大地	つかはらだいち	つかはら	だいち	NijiJP		
月ノ美兎	月ノ	美兎	つきのみと	つきの	みと	NijiJP	委員長	
月見しずく	月見	しずく	つきみしずく	つきみ	しずく	NijiJP		
でびでび・でびる	でびる	でびでび	でびでびでびる	でびる	でびでび	NijiJP		
東堂コハク	東堂	コハク	とうどうこはく	とうどう	こはく	NijiJP		
ドーラ		ドーラ	どーら		どーら	NijiJP		
