名前（フル）	姓	名	名前読み（フル）	姓読み	名読み	属性	メモ	備考
羽那嵜りぃら	羽那嵜	りぃら	はなさきりいら	はなさき	りいら	ENILIS		
花園そら	花園	そら	はなぞのそら	はなぞの	そら	ENILIS		
薔薇さつき	薔薇	さつき	ばらさつき	ばら	さつき	ENILIS		
柊木しゅら	柊木	しゅら	ひいらぎしゅら	ひいらぎ	しゅら	ENILIS		
氷鷺涼	氷鷺	涼	ひさぎりょう	ひさぎ	りょう	ENILIS		
緋櫻温羅	緋櫻	温羅	ひざくらうら	ひざくら	うら	ENILIS		
畢宿ラリマ	畢宿	ラリマ	ひっしゅくらりま	ひっしゅく	らりま	ENILIS		
陽化るち	陽化	るち	ひのかるち	ひのか	るち	ENILIS		
伏見ゐづな	伏見	ゐづな	ふしみいづな	ふしみ	いづな	ENILIS		
冬雪あきら	冬雪	あきら	ふぶきあきら	ふぶき	あきら	ENILIS		
不夜城キラ	不夜城	キラ	ふやじょうきら	ふやじょう	きら	ENILIS		
星紗希ゆあ	星紗希	ゆあ	ほしさきゆあ	ほしさき	ゆあ	ENILIS		
星渡アメ	星渡	アメ	ほしわたあめ	ほしわた	あめ	ENILIS		
水鏡幽	水鏡	幽	みかがみかすか	みかがみ	かすか	ENILIS		
三毛みぃな	三毛	みぃな	みけみいな	みけ	みいな	ENILIS		
宮尾戸ひお	宮尾戸	ひお	みやおとひいお	みやおと	ひいお	ENILIS		
廻ゆゆ	廻	ゆゆ	めぐりゆゆ	めぐり	ゆゆ	ENILIS		
芽吹ラム	芽吹	ラム	めぶきらむ	めぶき	らむ	ENILIS		
メラ・ヴィガード	ヴィガード	メラ	めらゔぃがーど	ゔぃがーど	めら	ENILIS		
桃木さら	桃木	さら	ももきさら	ももき	さら	ENILIS		
桃乃居めのあ	桃乃居	めのあ	もものいめのあ	もものい	めのあ	ENILIS		
モモ・ブランシュ	ブランシュ	モモ	ももぶらんしゅ	ぶらんしゅ	もも	ENILIS		
百万音ミュー	百万音	ミュー	ももまねみゅう	ももまね	みゅう	ENILIS		
八木乃一葉	八木乃	一葉	やぎのいちは	やぎの	いちは	ENILIS		
八剣ナツ	八剣	ナツ	やつるぎナツ	やつるぎ	ナツ	ENILIS		
夜透ノエス	夜透	ノエス	やとのえす	やと	のえす	ENILIS		
夜々咲珠羽	夜々咲	珠羽	ややさきすう	ややさき	すう	ENILIS		
夕火凪	夕火	凪	ゆうひなぎ	ゆうひ	なぎ	ENILIS		
幽冥忍	幽冥	忍	ゆうめいしのぶ	ゆうめい	しのぶ	ENILIS		
幸羽ラナン	幸羽	ラナン	ゆきばねらなん	ゆきばね	らなん	ENILIS		
夢前ひめか	夢前	ひめか	ゆめさきひめか	ゆめさき	ひめか	ENILIS		
宵呑想乃	宵呑	想乃	よいのみその	よいのみ	その	ENILIS		
宵ノ月翡翠	宵ノ月	翡翠	よのつきひすい	よのつき	ひすい	ENILIS		
來田つづり	來田	つづり	らいたつづり	らいた	つづり	ENILIS		
狼灯絶夜	狼灯	絶夜	ろうとうぜつや	ろうとう	ぜつや	ENILIS		
暁ロコ	暁	ロコ	秋澄もみじ	秋澄	もみじ	ENILIS		
井月みちる	井月	みちる	いづきみちる	いづき	みちる	HoloAN		
風白ゆき	風白	ゆき	かぜしろゆき	かぜしろ	ゆき	HoloAN		
花園さやか	花園	さやか	はなぞのさやか	はなぞの	さやか	HoloAN		
春先のどか	春先	のどか	はるさきのどか	はるさき	のどか	HoloAN		
IRyS		IRyS	あいりす		あいりす	HoloEN		
エリザベス・ローズ・ブラッドフレイム	ブラッドフレイム	エリザベス	えりざべすろーずぶらっどふれいむ	ぶらっどふれいむ	えりざべす	HoloEN	Elizabeth Rose Bloodflame	
オーロ・クロニー	クロニー	オーロ	おーろくろにー	くろにー	おーろ	HoloEN	Ouro Kronii	
がうる・ぐら	ぐら	がうる	がうるぐら	ぐら	がうる	HoloEN	Gawr Gura	
古石ビジュー	古石	ビジュー	こせきびじゅー	こせき	びじゅー	HoloEN	Koseki Bijou	
シオリ・ノヴェラ	ノヴェラ	シオリ	しおりのゔぇら	のゔぇら	しおり	HoloEN	Shiori Novella	
ジジ・ムリン	ムリン	ジジ	じじむりん	むりん	じじ	HoloEN	Gigi Murin	
セシリア・イマーグリーン	イマーグリーン	セシリア	せしりあいまーぐりーん	いまーぐりーん	せしりあ	HoloEN	Cecilia Immergreen	
セレス・ファウナ	ファウナ	セレス	せれすふぁうな	ふぁうな	せれす	HoloEN	Ceres Fauna	
小鳥遊キアラ	小鳥遊	キアラ	たかなしきあら	たかなし	きあら	HoloEN	Takanashi Kiara	
九十九佐命	九十九	佐命	つくもさな	つくも	さな	HoloEN		
七詩ムメイ	七詩	ムメイ	ななしむめい	ななし	むめい	HoloEN		
一伊那尓栖	一	伊那尓栖	にのまえいなにす	にのまえ	いなにす	HoloEN	Ninomae Ina'nis	
ネリッサ・レイヴンクロフト	レイヴンクロフト	ネリッサ	ねりっされいゔんくろふと	れいゔんくろふと	ねりっさ	HoloEN	Nerissa Ravencroft	
ハコス・ベールズ	ベールズ	ハコス	はこすべーるず	べーるず	はこす	HoloEN	Hakos Baelz	
フワワ・アビスガード	アビスガード	フワワ	ふわわあびすがーど	あびすがーど	ふわわ	HoloEN	フワモコ	
モココ・アビスガード	アビスガード	モココ	もここあびすがーど	あびすがーど	もここ	HoloEN	フワモコ	
森カリオペ	森	カリオペ	もりかりおぺ	もり	かりおぺ	HoloEN	Mori Calliope	
ラオーラ・パンテーラ	パンテーラ	ラオーラ	らおーらぱんてーら	ぱんてーら	らおーら	HoloEN	Raora Panthera	
ワトソン・アメリア	アメリア	ワトソン	わとそんあめりあ	あめりあ	わとそん	HoloEN	Watson Amelia	
アーニャ・メルフィッサ	メルフィッサ	アーニャ	あーにゃめるふぃっさ	めるふぃっさ	あーにゃ	HoloID	Anya Melfissa	
アイラニ・イオフィフティーン	イオフィフティーン	アイラニ	あいらにいおふぃふてぃーん	いおふぃふてぃーん	あいらに	HoloID	Airani Iofifteen　イオ	
アユンダ・リス	アユンダ	リス	あゆんだりす	あゆんだ	りす	HoloID	Ayunda Risu	姓名順不明
カエラ・コヴァルスキア	コヴァルスキア	カエラ	かえらこゔぁるすきあ	こゔぁるすきあ	かえら	HoloID	Kaela Kovalskia	
クレイジー・オリー	クレイジー	オリー	くれいじーおりー	くれいじー	おりー	HoloID	Kureiji Ollie	姓名順不明
こぼ・かなえる	かなえる	こぼ	こぼかなえる	かなえる	こぼ	HoloID		
パヴォリア・レイネ	パヴォリア	レイネ	ぱゔぉりあれいね	ぱゔぉりあ	れいね	HoloID	Pavolia Reine	姓名順不明
ベスティア・ゼータ	ベスティア	ゼータ	べすてぃあぜーた	べすてぃあ	ぜーた	HoloID	Vestia Zeta	姓名順不明
ムーナ・ホシノヴァ	ホシノヴァ	ムーナ	むーなほしのゔぁ	ほしのゔぁ	むーな	HoloID	Moona Hoshinova	
赤井はあと	赤井	はあと	あかいはあと	あかい	はあと	HoloJP	はあちゃま	
アキ・ローゼンタール	ローゼンタール	アキ	あきろーぜんたーる	ろーぜんたーる	あき	HoloJP	あきろぜ	
AZKi		AZKi	あずき		あずき	HoloJP		
天音かなた	天音	かなた	あまねかなた	あまね	かなた	HoloJP		
響咲リオナ	響咲	リオナ	いさきりおな	いさき	りおな	HoloJP		
一条莉々華	一条	莉々華	いちじょうりりか	いちじょう	りりか	HoloJP	しゃっちょ	
戌神ころね	戌神	ころね	いぬがみころね	いぬがみ	ころね	HoloJP		
兎田ぺこら	兎田	ぺこら	うさだぺこら	うさだ	ぺこら	HoloJP	ぺこーら	
潤羽るしあ	潤羽	るしあ	うるはるしあ	うるは	るしあ	HoloJP		
大神ミオ	大神	ミオ	おおかみみお	おおかみ	みお	HoloJP	みおしゃ	
大空スバル	大空	スバル	おおぞらすばる	おおぞら	すばる	HoloJP	しゅば	
音乃瀬奏	音乃瀬	奏	おとのせかなで	おとのせ	かなで	HoloJP	げつようび	
尾丸ポルカ	尾丸	ポルカ	おまるぽるか	おまる	ぽるか	HoloJP		
風真いろは	風真	いろは	かざまいろは	かざま	いろは	HoloJP	ござる	
綺々羅々ヴィヴィ	綺々羅々	ヴィヴィ	ききららゔぃゔぃ	ききらら	ゔぃゔぃ	HoloJP		
桐生ココ	桐生	ココ	きりゅうここ	きりゅう	ここ	HoloJP	会長	
虎金妃笑虎	虎金妃	笑虎	こがねいにこ	こがねい	にこ	HoloJP		
沙花叉クロヱ	沙花叉	クロヱ	さかまたくろえ	さかまた	くろえ	HoloJP		
さくらみこ	さくら	みこ	さくらみこ	さくら	みこ	HoloJP	えりーと　にぇ	
獅白ぼたん	獅白	ぼたん	ししろぼたん	ししろ	ぼたん	HoloJP		
儒烏風亭らでん	儒烏風亭	らでん	じゅうふうていらでん	じゅうふうてい	らでん	HoloJP		
白上フブキ	白上	フブキ	しらかみふぶき	しらかみ	ふぶき	HoloJP		
不知火フレア	不知火	フレア	しらぬいふれあ	しらぬい	ふれあ	HoloJP		
白銀ノエル	白銀	ノエル	しろがねのえる	しろがね	のえる	HoloJP		
鷹嶺ルイ	鷹嶺	ルイ	たかねるい	たかね	るい	HoloJP		
角巻わため	角巻	わため	つのまきわため	つのまき	わため	HoloJP	わるくないよねぇ	
ときのそら	ときの	そら	ときのそら	ときの	そら	HoloJP		
常闇トワ	常闇	トワ	とこやみとわ	とこやみ	とわ	HoloJP	トワ様	
轟はじめ	轟	はじめ	とどろきはじめ	とどろき	はじめ	HoloJP	ばんちょ	
百鬼あやめ	百鬼	あやめ	なきりあやめ	なきり	あやめ	HoloJP	余	
夏色まつり	夏色	まつり	なついろまつり	なついろ	まつり	HoloJP	まちゅ	
猫又おかゆ	猫又	おかゆ	ねこまたおかゆ	ねこまた	おかゆ	HoloJP		
博衣こより	博衣	こより	はくいこより	はくい	こより	HoloJP		
火威青	火威	青	ひおどしあお	ひおどし	あお	HoloJP		
姫森ルーナ	姫森	ルーナ	ひめもりるーな	ひめもり	るーな	HoloJP	ひめ　んなたん	
宝鐘マリン	宝鐘	マリン	ほうしょうまりん	ほうしょう	まりん	HoloJP		
星街すいせい	星街	すいせい	ほしまちすいせい	ほしまち	すいせい	HoloJP		
魔乃アロエ	魔乃	アロエ	まのあろえ	まの	あろえ	HoloJP		
水宮枢	水宮	枢	みずみやすう	みずみや	すう	HoloJP		
湊あくあ	湊	あくあ	みなとあくあ	みなと	あくあ	HoloJP	あくたん	
紫咲シオン	紫咲	シオン	むらさきしおん	むらさき	しおん	HoloJP		
桃鈴ねね	桃鈴	ねね	ももすずねね	ももすず	ねね	HoloJP		
雪花ラミィ	雪花	ラミィ	ゆきはならみい	ゆきはな	らみい	HoloJP		
癒月ちょこ	癒月	ちょこ	ゆづきちょこ	ゆづき	ちょこ	HoloJP		
夜空メル	夜空	メル	よぞらめる	よぞら	める	HoloJP		
ラプラス・ダークネス	ダークネス	ラプラス	らぷらすだーくねす	だーくねす	らぷらす	HoloJP	ラプ様　ツノガキ　総帥	
輪堂千速	輪堂	千速	りんどうちはや	りんどう	ちはや	HoloJP		
ロボ子さん		ロボ子さん	ろぼこさん		ろぼこさん	HoloJP	ろぼち　高性能	
清澄ライラ	清澄	ライラ	きよすみらいら	きよすみ	らいら	HoloMP	いちご大根　ピザナイフ	
墨汐さやな	墨汐	さやな	すみしおさやな	すみしお	さやな	HoloMP		
由比河ひなみ	由比河	ひなみ	ゆいかわひなみ	ゆいかわ	ひなみ	HoloMP		
宵凪ネオン	宵凪	ネオン	よいなぎねおん	よいなぎ	ねおん	HoloMP	早口まつ毛	
琉海垣りらら	琉海垣	りらら	るみがきりらら	るみがき	りらら	HoloMP		
玲銘ミラ	玲銘	ミラ	れいめいみら	れいめい	みら	HoloMP	両面宿儺　二郎系両面宿儺	
Ommegaα		Ommegaα	おめがあるふぁ		おめがあるふぁ	HoloStaff		
YAGOO		YAGOO	やごー		やごー	HoloStaff	谷郷元昭	
友人A		友人A	ゆうじんえー		ゆうじんえー	HoloStaff		
アクセル・シリオス	シリオス	アクセル	あくせるしりおす	しりおす	あくせる	HolostEN	Axel Syrios	
オクタビオ		オクタビオ	おくたびお		おくたびお	HolostEN	Octavio	
ガビス・ベッテル	ベッテル	ガビス	がびすべってる	べってる	がびす	HolostEN	Gavis Bettel	
クリムゾン・ルーズ	ルーズ	クリムゾン	くりむぞんるーず	るーず	くりむぞん	HolostEN	Crimzon Ruze	
ゴールドブレット		ゴールドブレット	ごーるどぶれっと		ごーるどぶれっと	HolostEN	Goldbullet	
ジュラルド・ティー・レクスフォード	レクスフォード	ジュラルド	じゅらるどてぃーれくすふぉーど	れくすふぉーど	じゅらるど	HolostEN	Jurard T Rexford	
定水寺シンリ	定水寺	シンリ	じょうすいじしんり	じょうすいじ	しんり	HolostEN		
ノワール・ヴェスパー	ヴェスパー	ノワール	のわーるゔぇすぱー	ゔぇすぱー	のわーる	HolostEN	Noir Vesper	
万象院ハッカ	万象院	ハッカ	ばんぞういんはっか	ばんぞういん	はっか	HolostEN		
マキナ・X・フレオン	フレオン	マキナ	まきなえっくすふれおん	ふれおん	まきな	HolostEN	Machina X Flayon	
マグニ・デズモンド	デズモンド	マグニ	まぐにでずもんど	でずもんど	まぐに	HolostEN	Magni Dezmond	
リージス・アルテア	アルテア	リージス	りーじすあるてあ	あるてあ	りーじす	HolostEN	Regis Altare	
アステル・レダ	レダ	アステル	あすてるれだ	れだ	あすてる	HolostJP		
荒咬オウガ	荒咬	オウガ	あらがみおうが	あらがみ	おうが	HolostJP		
アルランディス		アルランディス	あるらんでぃす		あるらんでぃす	HolostJP		
羽継烏有	羽継	烏有	うつぎうゆう	うつぎ	うゆう	HolostJP		
鏡見キラ	鏡見	キラ	かがみきら	かがみ	きら	HolostJP		
影山シエン	影山	シエン	かげやましえん	かげやま	しえん	HolostJP		
奏手イヅル	奏手	イヅル	かなでいづる	かなで	いづる	HolostJP		
岸堂天真	岸堂	天真	きしどうてんま	きしどう	てんま	HolostJP		
月下カオル	月下	カオル	つきしたかおる	つきした	かおる	HolostJP		
花咲みやび	花咲	みやび	はなさきびやび	はなさき	みやび	HolostJP		
緋崎ガンマ	緋崎	ガンマ	ひざきがんま	ひざき	がんま	HolostJP		
水無瀬燐央	水無瀬	燐央	みなせりお	みなせ	りお	HolostJP		
薬師寺朱雀	薬師寺	朱雀	やくしじすざく	やくしじ	すざく	HolostJP		
夜十神封魔	夜十神	封魔	やとがみふうま	やとがみ	ふうま	HolostJP		
夕刻ロベル	夕刻	ロベル	ゆうこくろべる	ゆうこく	ろべる	HolostJP	除夜のケツ	
律可		律可	りっか		りっか	HolostJP		
秋桜しゅお	秋桜	しゅお	しゅおうしゅお	しゅおう	しゅお	Jig		
変幻リメ	変幻	リメ	へんげりめ	へんげ	りめ	Jig		
八千代あさ	八千代	あさ	やちよあさ	やちよ	あさ	Jig		
八千代よる	八千代	よる	やちよよる	やちよ	よる	Jig		
泡清みる	泡清	みる	あわすずみる	あわすず	みる	JigPFN		
小澄くろまる	小澄	くろまる	こずみくろまる	こずみ	くろまる	JigPFN		
しーはむ		しーはむ	しーはむ		しーはむ	JigPFN		
橙葉ぽん	橙葉	ぽん	とうはぽん	とうは	ぽん	JigPFN		
なかもとおまち	なかもと	おまち	なかもとおまち	なかもと	おまち	JigPFN		
猫吸はぴ	猫吸	はぴ	ねこすいはぴ	ねこすい	はぴ	JigPFN		
火乃晴るい	火乃晴	るい	ひのはるい	ひのは	るい	JigPFN		
真昼ねる	真昼	ねる	まひるねる	まひる	ねる	JigPFN		
水透ユウ	水透	ユウ	みなとユウ	みなと	ユウ	JigPFN		
銘兎目あう	銘兎目	あう	めとめあう	めとめ	あう	JigPFN		
李じゅぴ汰	李	じゅぴ汰	りいじゅぴた	りい	じゅぴた	JigPFN		
暁月クララ	暁月	クララ	あかつきくらら	あかつき	くらら	JigPP		
江波キョウカ	江波	キョウカ	えばきょうか	えば	きょうか	JigPP		
香鳴ハノン	香鳴	ハノン	かなるはのん	かなる	はのん	JigPP		
鬼多見アユム	鬼多見	アユム	きたみあゆむ	きたみ	あゆむ	JigPP		
常磐カナメ	常磐	カナメ	ときわかなめ	ときわ	かなめ	JigPP		
夏渚まはろ	夏渚	まはろ	ななぎさまはろ	ななぎさ	まはろ	JigPP		
七海ロナ	七海	ロナ	ななみろな	ななみ	ろな	JigPP		
藤宮コトハ	藤宮	コトハ	ふじみやことは	ふじみや	ことは	JigPP		
愛上オハナ	愛上	オハナ	あいうえおはな	あいうえ	おはな	Jigパレ		
相栖るじゅ	相栖	るじゅ	あいするじゅ	あいす	るじゅ	Jigパレ		
愛葉はな	愛葉	はな	あいばはな	あいば	はな	Jigパレ		
天辻ゆらぐ	天辻	ゆらぐ	あまつじゆらぐ	あまつじ	ゆらぐ	Jigパレ		
天透あわ	天透	あわ	あまとあわ	あまと	あわ	Jigパレ		
雨海まる	雨海	まる	あまみまる	あまみ	まる	Jigパレ		
新巻るろな	新巻	るろな	あらまきるろな	あらまき	るろな	Jigパレ		
犬丸なでこ	犬丸	なでこ	いぬまるなでこ	いぬまる	なでこ	Jigパレ		
愛乃宮ゆめ	愛乃宮	ゆめ	えのみやゆめ	えのみや	ゆめ	Jigパレ		
桜雲ほわり	桜雲	ほわり	おううんほわり	おううん	ほわり	Jigパレ		
桜堂ねる	桜堂	ねる	おうどうねる	おうどう	ねる	Jigパレ		
音海まいる	音海	まいる	おとみまいる	おとみ	まいる	Jigパレ		
陰山アゲハ	陰山	アゲハ	かげやまあげは	かげやま	あげは	Jigパレ		
火狐むい	火狐	むい	かこむい	かこ	むい	Jigパレ		
彼方ルカ	彼方	ルカ	かなたるか	かなた	るか	Jigパレ		
亀城ちかり	亀城	ちかり	かめきちかり	かめき	ちかり	Jigパレ		
銀河キララ	銀河	キララ	ぎんがきらら	ぎんが	きらら	Jigパレ		
久堂れしあ	久堂	れしあ	くどうれしあ	くどう	れしあ	Jigパレ		
黒鋼亜華	黒鋼	亜華	くろがねあか	くろがね	あか	Jigパレ		
恋歌さわこ	恋歌	さわこ	こいうたさわこ	こいうた	さわこ	Jigパレ		
黄金つむぎ	黄金	つむぎ	こがねつむぎ	こがね	つむぎ	Jigパレ		
香桜あんにん	香桜	あんにん	こさくらあんにん	こさくら	あんにん	Jigパレ		
狛社なの	狛社	なの	こましろなの	こましろ	なの	Jigパレ		
采多しゆあ	采多	しゆあ	さいたしゆあ	さいた	しゆあ	Jigパレ		
さくさくさく	さくさく	さく	さくさくさく	さくさく	さく	Jigパレ		
桜庭羽奈	桜庭	羽奈	さくらばうな	さくらば	うな	Jigパレ		
シグマ・イングラム	イングラム	シグマ	しぐまいんぐらむ	いんぐらむ	しぐま	Jigパレ		
汐月永遠	汐月	永遠	しづきとわ	しづき	とわ	Jigパレ		
東雲アカリ	東雲	アカリ	しののめあかり	しののめ	あかり	Jigパレ		
白尾すず	白尾	すず	しらおすず	しらお	すず	Jigパレ		
神童めしあ	神童	めしあ	しんどうめしあ	しんどう	めしあ	Jigパレ		
鈴木沙透	鈴木	沙透	すずきさとう	すずき	さとう	Jigパレ		
瀬名りるか	瀬名	りるか	せなりるか	せな	りるか	Jigパレ		
露草なぎ	露草	なぎ	つゆくさなぎ	つゆくさ	なぎ	Jigパレ		
天堂ライラ	天堂	ライラ	てんどうらいら	てんどう	らいら	Jigパレ		
天麗らん	天麗	らん	てんれいらん	てんれい	らん	Jigパレ		
堂下さとり	堂下	さとり	どうしたさとり	どうした	さとり	Jigパレ		
飛渡ココ	飛渡	ココ	ととここ	とと	ここ	Jigパレ		
夏凪はつみ	夏凪	はつみ	なつなぎはつみ	なつなぎ	はつみ	Jigパレ		
七音うら	七音	うら	ななおとうら	ななおと	うら	Jigパレ		
ニコ・ダークウェル	ダークウェル	ニコ	にこだーくうぇる	ダークウェル	ニコ	Jigパレ		
猫乃間うと	猫乃間	うと	ねこのまうと	ねこのま	うと	Jigパレ		
畑スイカ	畑	スイカ	はたすいか	はた	すいか	Jigパレ		
花晴りら	花晴	りら	はなはれりら	はなはれ	りら	Jigパレ		
氷雨セイ	氷雨	セイ	ひさめせい	ひさめ	せい	Jigパレ		
緋雨柚	緋雨	柚	ひさめゆず	ひさめ	ゆず	Jigパレ		
翡翠あかね	翡翠	あかね	ひすいあかね	ひすい	あかね	Jigパレ		
緋月・ローズ・ブレイド	緋月	ブレイド	ひづきろーずぶれいど	ひづき	ぶれいど	Jigパレ		
雛菊のん	雛菊	のん	ひなぎくのん	ひなぎく	のん	Jigパレ		
